,alpha,beta,mode,sigma
0,0.0,0.0,6.538409324850273,0.3611111257750737
1,0.2,0.0,5.206441325384247,0.5393468730940042
2,0.5,0.0,4.38462829451582,0.6423893263459678
3,1.0,0.0,3.7167049280621143,0.7272249226091557
4,5.0,0.0,2.8437940398561414,0.8516846529422095
5,0.0,0.2,5.203993011221606,0.5273712553161032
6,0.2,0.2,3.4111637688879815,0.7298688108514896
7,0.5,0.2,2.367679816335681,0.7757150224503495
8,1.0,0.2,2.2142163988394006,0.8547013570448658
9,5.0,0.2,1.7375492435717297,0.9533660547488587
10,0.0,0.5,4.129562276651076,0.6544208556093438
11,0.2,0.5,2.1888014743728537,0.7829775843983886
12,0.5,0.5,1.8933021270583017,0.8626078217738894
13,1.0,0.5,1.5827975070438016,0.727004422256614
14,5.0,0.5,1.4173466866736248,0.9356100901480093
15,0.0,1.0,3.482719294513047,0.7351832383635507
16,0.2,1.0,1.8033234510777352,0.8921761117883371
17,0.5,1.0,1.5246097114251478,0.8726916449865545
18,1.0,1.0,1.424879326455624,0.891542861275529
19,5.0,1.0,1.3978789420324844,0.7212249447319604
20,0.0,5.0,2.6269193597944307,0.8536846921764465
21,0.2,5.0,1.5975548811399722,0.889431352521186
22,0.5,5.0,1.3732090301952646,0.8685208628465825
23,1.0,5.0,1.4305420443718941,0.7785399225930635
24,5.0,5.0,1.1776196516213058,0.9285263338777149
